,Title,Certificate,Episode_runtime,Genre,IMDb,Star1,Star2,Star3,Star4,Votes,Start_year,End_year,Series_runtime,New_cert
1563,Catfish: The TV Show,NA,60,Reality-TV,7.1,Nev Schulman,Max Joseph,Kamie Crawford,Bettina Kenney,7250,2012,,,AL
1564,Chambers,18,60,"Fantasy, Drama, Horror",6.5,Sivan Alyra Rose,Marcus LaVoi,Nicholas Galitzine,Kyanna Simone Simpson,7242,2019,2019.0,1.0,16
1565,Liar,NA,45,"Drama, Thriller, Crime",7.1,Joanne Froggatt,Ioan Gruffudd,Zoë Tapper,Richie Campbell,7232,2017,2020.0,4.0,AL
1566,Here Comes Honey Boo Boo,NA,60,Reality-TV,2.6,Jo Shannon,Alana Thompson,June Shannon,Jessica Shannon,7222,2012,2017.0,6.0,TV-PG
1567,The Sarah Silverman Program.,NA,22,Comedy,6.8,Sarah Silverman,Laura Silverman,Brian Posehn,Steve Agee,7218,2007,2010.0,4.0,9
1568,Cardinal,NA,42,"Mystery, Drama, Crime",7.7,Billy Campbell,Karine Vanasse,Kristen Thomson,Glen Gould,7202,2017,2020.0,4.0,16
1569,The Amanda Show,NA,30,"Family, Comedy",6.7,Amanda Bynes,Drake Bell,Nancy Sullivan,John Kassir,7196,1999,2002.0,4.0,TV-Y7
1570,Are You Being Served?,NA,28,Comedy,7.9,Mollie Sugden,John Inman,Frank Thornton,Wendy Richard,7178,1972,1985.0,14.0,AL
1571,Wolf's Rain,NA,701,"Animation, Action, Sci-Fi",8.0,Darren Pleavin,Kenta Miyake,Akio Suyama,Crispin Freeman,7177,2003,2004.0,2.0,TV-14
1572,Speechless,NA,30,Comedy,7.6,Minnie Driver,John Ross Bowie,Cedric Yarbrough,Mason Cook,7176,2016,2019.0,4.0,AL
1573,Aranyélet,NA,60,"Drama, Thriller, Action",8.8,Szabolcs Thuróczy,Eszter Ónodi,Renátó Olasz,Laura Döbrösi,7174,2015,2018.0,4.0,TV-MA
1574,Parfum,18,45,"Drama, Thriller",7.1,Friederike Becht,Natalia Belitski,Oskar Belton,Leon Lukas Blaschke,7167,2018,2018.0,1.0,16
1575,Merlí,18,58,"Romance, Drama, Comedy",8.6,Francesc Orella,Pere Ponce,Carlos Cuevas,Marta Marco,7164,2015,2018.0,4.0,TV-MA
1576,Kingdom Hospital,NA,608,"Fantasy, Drama, Horror",6.8,Jamie Harrold,Diane Ladd,Bruce Davison,Jack Coleman,7149,2004,2004.0,1.0,16
1577,Wonder Woman,NA,60,"Adventure, Drama, Action",7.1,Lynda Carter,Lyle Waggoner,Tom Kratochvil,Richard Eastham,7146,1975,1979.0,5.0,12
1578,Vegas,NA,44,"Drama, Crime, Action",7.3,Dennis Quaid,Michael Chiklis,Carrie-Anne Moss,Taylor Handley,7139,2012,2013.0,2.0,12
1579,War of the Worlds,NA,49,"Mystery, Drama, Sci-Fi",6.3,Ania Sowinski,Léa Drucker,Gabriel Byrne,Adel Bencherif,7120,2019,,,12
1580,Fraggle Rock,NA,30,"Animation, Adventure, Comedy",7.9,Karen Prell,Gerard Parkes,Kathryn Mullen,Steve Whitmire,7118,1983,1987.0,5.0,TV-Y
1581,Ben de Özledim,NA,75,"Fantasy, Comedy",8.1,Ali Atay,Serkan Keskin,Osman Sonant,Ahmet Mümtaz Taylan,7117,2013,2014.0,2.0,NA
1582,Motherland: Fort Salem,NA,42.0,"Fantasy, Drama, Sci-Fi",7.1,Taylor Hickson,Amalia Holm,Demetria McKinney,Jessica Sutton,7115,2020,,,16
1583,Fabulous Lives of Bollywood Wives,18,35,Reality-TV,3.5,Maheep Kapoor,Seema Khan,Neelam Kothari,Bhavana Pandey,7107,2020,,,AL
1584,The Young Indiana Jones Chronicles,NA,45,"Family, Adventure, Action",7.3,Sean Patrick Flanery,George Hall,Corey Carrier,Ronny Coutteure,7083,1992,1993.0,2.0,TV-G
1585,Would I Lie to You?,NA,30,"Game-Show, Comedy",8.1,David Mitchell,Lee Mack,Rob Brydon,Paul Ridley,7072,2007,,,TV-PG
1586,Him-ssen yeo-ja Do Bong-soon,16,67,"Drama, Crime, Comedy",8.2,Park Bo-Young,Park Hyung-Shik,Ji Soo,Jun Suk-ho,7071,2017,2017.0,1.0,TV-14
1587,Clarence,NA,23,"Short, Animation, Adventure",6.6,Spencer Rothbell,Katie Crown,Tom Kenny,Sean Giambrone,7064,2013,2018.0,6.0,NA
1588,Necessary Roughness,NA,60,"Romance, Drama, Comedy",7.0,Callie Thorne,Scott Cohen,Mehcad Brooks,Marc Blucas,7062,2011,2013.0,3.0,PG-13
1589,Lipstick Jungle,NA,60,"Drama, Comedy",6.5,Brooke Shields,Kim Raver,Lindsay Price,Paul Blackthorne,7055,2008,2009.0,2.0,AL
1590,The Bold and the Beautiful,NA,30,"Romance, Drama",3.4,Katherine Kelly Lang,Ronn Moss,Susan Flannery,John McCook,7047,1987,,,AL
1591,The Player,NA,60,"Drama, Crime, Action",7.0,Philip Winchester,Damon Gupton,Wesley Snipes,Charity Wakefield,7037,2015,2015.0,1.0,AL
1592,Mob City,NA,60,"Mystery, Drama, Crime",7.5,Jon Bernthal,Milo Ventimiglia,Neal McDonough,Alexa Davalos,7036,2013,2013.0,1.0,TV-MA
1593,Kara Sevda,NA,90,"Romance, Drama",7.2,Burak Özçivit,Neslihan Atagül,Kaan Urgancioglu,Orhan Güner,7033,2015,2017.0,3.0,TV-14
1594,Childrens Hospital,NA,11,Comedy,7.8,Rob Huebel,Rob Corddry,Ken Marino,Erinn Hayes,7032,2008,2016.0,9.0,TV-14
1595,Gantz,NA,22,"Comedy, Animation, Action",7.2,Chris Ayres,Emily Carter-Essex,Shannon Emerick,John Gremillion,7032,2004,2004.0,1.0,TV-MA
1596,Transporter: The Series,NA,48,"Crime, Action",6.5,Chris Vance,François Berléand,Charly Hübner,Violante Placido,7031,2012,2014.0,3.0,12
1597,Tatli Hayat,NA,58,"Family, Comedy",8.5,Sevinç Aktansel,Asli Altaylar,Ceyda Ates,Nami Esatgil,7027,2001,2004.0,4.0,NA
1598,Conviction,NA,42,Drama,7.2,Hayley Atwell,Eddie Cahill,Shawn Ashmore,Merrin Dungey,7024,2016,2017.0,2.0,NA
1599,Life with Louie,NA,30,"Animation, Adventure, Comedy",8.3,Louie Anderson,Edie McClurg,Justin Shenkarow,Miko Hughes,7022,1994,1998.0,5.0,TV-Y
1600,The First,NA,45,"Drama, Sci-Fi",6.7,Sean Penn,Natascha McElhone,LisaGay Hamilton,Hannah Ware,7021,2018,2018.0,1.0,TV-MA
1601,Mary Tyler Moore,NA,30,Comedy,8.1,Mary Tyler Moore,Edward Asner,Gavin MacLeod,Valerie Harper,7018,1970,1977.0,8.0,TV-PG
1602,Hilda,7,24,"Animation, Adventure, Comedy",8.6,Bella Ramsey,Ameerah Falzon-Ojo,Oliver Nelson,Daisy Haggard,6993,2018,2020.0,3.0,6
1603,The Good Guys,NA,60,"Comedy, Action",8.1,Bradley Whitford,Colin Hanks,Jenny Wade,Diana Maria Riva,6993,2010,2010.0,1.0,12
1604,Trinkets,18,30,"Drama, Crime, Comedy",7.1,Brianna Hildebrand,Kiana Madeira,Quintessa Swindell,Odiseas Georgiadis,6981,2019,2020.0,2.0,16
1605,Teletubbies,NA,28,"Fantasy, Family, Musical",3.8,Rolf Saxon,Jessica Smith,John Simmit,Nikky Smedley,6979,1997,2001.0,5.0,AL
1606,I Am the Night,NA,60,"Mystery, Drama, Crime",7.0,Chris Pine,India Eisley,Jefferson Mays,Leland Orser,6974,2019,2019.0,1.0,TV-MA
1607,Mr. Pickles,NA,15,"Horror, Animation, Comedy",7.4,Dave Stewart,Kaitlyn Robrock,Will Carsola,Jay Johnston,6971,2013,2019.0,7.0,TV-MA
1608,Gintama,16,25.0,"Comedy, Animation, Action",8.6,Tomokazu Sugita,Daisuke Sakaguchi,Rie Kugimiya,Kazuya Nakai,6963,2005,2018.0,14.0,TV-14
1609,Ben 10: Alien Force,All,22,"Animation, Adventure, Action",7.1,Yuri Lowenthal,Dee Bradley Baker,Ashley Johnson,Greg Cipes,6962,2008,2010.0,3.0,TV-Y7
1610,The Grinder,NA,21,Comedy,7.1,Rob Lowe,Fred Savage,Mary Elizabeth Ellis,Hana Hayes,6958,2015,2016.0,2.0,TV-PG
1611,Satyamev Jayate,NA,65,"Documentary, Talk-Show",8.6,Aamir Khan,Devendra Singh Gaur,Sridevi,Laxmi Agarwal,6956,2012,2014.0,3.0,TV-14
1612,The Rockford Files,NA,50,"Mystery, Drama, Crime",8.1,James Garner,Noah Beery Jr.,Joe Santos,Luis Delgado,6956,1974,1980.0,7.0,TV-PG
1613,The Bernie Mac Show,NA,30,"Family, Drama, Comedy",7.0,Bernie Mac,Kellita Smith,Jeremy Suarez,Dee Dee Davis,6952,2001,2006.0,6.0,AL
1614,The Great British Bake Off,NA,60,Reality-TV,8.6,Paul Hollywood,Mary Berry,Mel Giedroyc,Sue Perkins,6948,2010,,,AL
1615,Harlots,18,45,Drama,7.7,Lesley Manville,Kate Fleetwood,Holli Dempsey,Eloise Smyth,6936,2017,2019.0,3.0,TV-MA
1616,American Pickers,NA,60,"Reality-TV, Documentary",7.0,Mike Wolfe,Danielle Colby-Cushman,Frank Fritz,Robbie Wolfe,6932,2010,,,AL
1617,Blossom,NA,30,"Family, Drama, Comedy",6.0,Mayim Bialik,Jenna von Oÿ,Joey Lawrence,Ted Wass,6931,1990,1995.0,6.0,AL
1618,Eye Candy,NA,60,"Mystery, Drama, Crime",7.2,Victoria Justice,Casey Deidrick,Harvey Guillén,Marcus Callender,6930,2015,2015.0,1.0,TV-14
1619,Damnation,NA,60,"Western, Drama, Crime",7.7,Logan Marshall-Green,Killian Scott,Sarah Jones,Chasten Harmon,6927,2017,2018.0,2.0,16
1620,High Maintenance,18,30,"Drama, Comedy",8.1,Ben Sinclair,Kate Lyn Sheil,Britt Lower,Abdullah Saeed,6916,2016,,,16
1621,Tiny Pretty Things,18,60,"Mystery, Drama, Thriller",5.8,Kylie Jefferson,Lauren Holly,Casimere Jollette,Brennan Clost,6914,2020,,,14
1622,Phil of the Future,NA,25,"Family, Adventure, Comedy",7.0,Raviv Ullman,Amy Bruckner,Craig Anton,Lise Simms,6908,2004,2006.0,3.0,TV-G
1623,High School DxD,18,23,"Comedy, Animation, Action",7.6,Yûki Kaji,Yôko Hikasa,Azumi Asakura,Shizuka Itô,6901,2012,2018.0,7.0,16
1624,Taarak Mehta Ka Ooltah Chashmah,U,22,"Family, Comedy",8.0,Dilip Joshi,Disha Vakani,Amit Bhatt,Bhavya Gandhi,6901,2008,,,Not Rated
1625,Rosewood,NA,42,"Mystery, Drama, Crime",6.7,Morris Chestnut,Jaina Lee Ortiz,Gabrielle Dennis,Anna Konkle,6889,2015,2017.0,3.0,12
1626,Explained,NA,18,Documentary,8.1,Estelle Caswell,Maria Bello,Kristen Bell,Rachel Bloom,6882,2018,,,TV-MA
1627,The Trip,NA,172,Comedy,8.0,Steve Coogan,Rob Brydon,Claire Keelan,Rebecca Johnson,6848,2010,,,16
1628,Top Cat,NA,30,"Animation, Crime, Comedy",7.1,Leo DeLyon,Allen Jenkins,Arnold Stang,Maurice Gosfield,6848,1961,1962.0,2.0,TV-G
1629,All That,NA,30,"Family, Comedy, Music",7.5,Amanda Bynes,Nick Cannon,Kenan Thompson,Soup,6843,1994,2019.0,26.0,12
1630,9-1-1: Lone Star,12+,43,"Drama, Thriller, Action",6.6,Rob Lowe,Ronen Rubinstein,Sierra Aylina McClain,Jim Parrack,6836,2020,,,12
1631,Fantasy Island,NA,60,"Adventure, Drama, Comedy",6.5,Ricardo Montalban,Hervé Villechaize,Christopher Hewett,Wendy Schaal,6836,1977,1984.0,8.0,TV-14
1632,The Avengers,NA,60,"Comedy, Crime, Action",8.3,Patrick Macnee,Diana Rigg,Honor Blackman,Linda Thorson,6825,1961,1969.0,9.0,12
1633,Brotherhood,NA,60,"Drama, Crime",7.7,Jason Isaacs,Jason Clarke,Annabeth Gish,Kevin Chapman,6821,2006,2008.0,3.0,TV-MA
1634,Beyond,NA,43,"Fantasy, Drama, Mystery",7.0,Burkely Duffield,Dilan Gwyn,Jonathan Whitesell,Michael McGrady,6819,2016,2018.0,3.0,12
1635,Frisky Dingo,NA,11,"Animation, Comedy, Sci-Fi",8.1,Adam Reed,Eric Sims,Neal Holman,Stuart Culpepper,6805,2006,2008.0,3.0,TV-MA
1636,Finding Carter,NA,42,Drama,7.5,Kathryn Prescott,Cynthia Watros,Anna Jacoby-Heron,Alex Saxon,6798,2014,2015.0,2.0,TV-14
1637,Food Wars: Shokugeki no Soma,13,24,"Animation, Drama, Comedy",8.2,Yoshitsugu Matsuoka,Minami Takahashi,Maaya Uchida,Ai Kayano,6794,2015,,,TV-14
1638,Haters Back Off!,NA,30,"Family, Drama, Comedy",6.0,Colleen Ballinger,Angela Kinsey,Francesca Reale,Erik Stocklin,6791,2016,2017.0,2.0,9
1639,Leave It to Beaver,NA,30,"Family, Comedy",7.5,Jerry Mathers,Hugh Beaumont,Barbara Billingsley,Tony Dow,6775,1957,1963.0,7.0,TV-G
1640,City on a Hill,15+,60,"Drama, Thriller, Crime",7.5,Kevin Bacon,Aldis Hodge,Mark O'Brien,Amanda Clayton,6774,2019,,,16
1641,Army Wives,NA,60,"Romance, Drama, War",7.3,Brian McNamara,Wendy Davis,Catherine Bell,Sterling K. Brown,6768,2007,2013.0,7.0,TV-14
1642,Johnny Test,NA,30,"Animation, Adventure, Action",5.0,James Arnold Taylor,Maryke Hendrikse,Lee Tockar,Ashleigh Ball,6766,2005,2014.0,10.0,AL
1643,New Amsterdam,NA,60,"Drama, Crime, Sci-Fi",7.4,Nikolaj Coster-Waldau,Zuleikha Robinson,Alexie Gilmore,Stephen McKinley Henderson,6764,2008,2008.0,1.0,12
1644,GTO,18,24,"Animation, Drama, Comedy",8.6,Steve Blum,Tom Fahn,Jun'ichi Suwabe,Wataru Takagi,6762,1999,2000.0,2.0,TV-MA
1645,One Strange Rock,NA,47,Documentary,8.8,Will Smith,Chris Hadfield,Jerry Linenger,Mae C. Jemison,6755,2018,,,TV-PG
1646,"Bill Nye, the Science Guy",NA,30,"Family, Documentary, Comedy",8.2,Bill Nye,Pat Cashman,Michaela Leslie-Rule,Jaffar Smith,6751,1993,1998.0,6.0,TV-Y
1647,Liv and Maddie,NA,22,"Family, Drama, Comedy",6.3,Dove Cameron,Joey Bragg,Tenzing Norgay Trainor,Kali Rocha,6749,2013,2017.0,5.0,TV-G
1648,The Wrong Mans,NA,29,"Thriller, Crime, Comedy",7.8,Mathew Baynton,James Corden,Sarah Solemani,Dawn French,6741,2013,2014.0,2.0,NA
1649,Dororo,NA,30,"Animation, Adventure, Action",8.4,Rio Suzuki,Mugihito,Hiroki Suzuki,Mutsumi Sasaki,6735,2019,2019.0,1.0,Not Rated
1650,La casa de las flores,18+,60,"Drama, Comedy",7.7,Cecilia Suárez,Claudette Maillé,Dario Yazbek Bernal,Juan Pablo Medina,6731,2018,2020.0,3.0,12
1651,Hap and Leonard,16,60,"Mystery, Drama, Crime",7.7,James Purefoy,Michael Kenneth Williams,Tiffany Mack,Cranston Johnson,6729,2016,2018.0,3.0,TV-MA
1652,Mr. Sunshine,NA,293,Comedy,6.8,Matthew Perry,Andrea Anders,James Lesure,Nate Torrence,6720,2011,2012.0,2.0,NA
1653,Murder in the First,NA,42,"Mystery, Drama, Crime",7.3,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,Raphael Sbarge,6710,2014,2016.0,3.0,16
1654,Scott & Bailey,NA,45,"Mystery, Drama, Crime",8.0,Suranne Jones,Lesley Sharp,Tony Mooney,David Prosho,6704,2011,2016.0,6.0,NA
1655,Plebs,NA,25,Comedy,7.9,Tom Rosenthal,Ryan Sampson,Tom Basden,Karl Theobald,6702,2013,,,TV-14
1656,JL50,16,42,"Drama, Thriller, Sci-Fi",7.5,Abhay Deol,Pankaj Kapur,Ritika Anand,Piyush Mishra,6701,2020,,,NA
1657,Crossbones,NA,60,"Adventure, Drama, Action",6.5,John Malkovich,Richard Coyle,Claire Foy,Yasmine Al Massri,6696,2014,2014.0,1.0,NA
1658,Sunderland 'Til I Die,16+,39,"Sport, Documentary",8.1,Nick Barnes,George Honeyman,Aiden McGeady,Gary Bennett,6694,2018,,,12
1659,The Being Frank Show,NA,2010– 2010– ,Talk-Show,6.7,Frank D'Angelo,Glen Foster,Steven Joel Kerzner,Bai Ling,6671,2010,,,NA
1660,Riviera,NA,60,"Drama, Thriller",6.7,Julia Stiles,Lena Olin,Dimitri Leonidas,Roxane Duran,6665,2017,,,12
1661,Dads,NA,22,Comedy,5.5,Seth Green,Giovanni Ribisi,Brenda Song,Vanessa Lachey,6662,2013,2014.0,2.0,TV-14
1662,Kuroshitsuji,NA,24,"Comedy, Animation, Action",7.8,Michael C. Pizzuto,J. Michael Tatum,Brina Palencia,Daisuke Ono,6659,2008,2010.0,3.0,TV-14
1663,Dirt,NA,60,Drama,6.9,Courteney Cox,Ian Hart,Josh Stewart,Alexandra Breckenridge,6657,2007,2008.0,2.0,R
1664,Bill Nye Saves the World,NA,30,"Talk-Show, Comedy",3.6,Bill Nye,Karlie Kloss,Rachel Bloom,Zach Braff,6654,2017,2018.0,2.0,12
1665,"Luchshe, chem lyudi",13+,52,"Drama, Sci-Fi",7.4,Paulina Andreeva,Kirill Käro,Aleksandr Ustyugov,Olga Lomonosova,6647,2018,2019.0,2.0,12
1666,Kojak,NA,60,"Drama, Crime, Action",7.1,Telly Savalas,Dan Frazer,Kevin Dobson,George Savalas,6641,1973,1978.0,6.0,TV-PG
1667,Lost in Space,NA,60,"Family, Adventure, Comedy",7.3,Guy Williams,June Lockhart,Mark Goddard,Marta Kristen,6611,1965,1968.0,4.0,12
1668,Beetlejuice,NA,22,"Animation, Adventure, Comedy",7.3,Stephen Ouimette,Alyson Court,Tabitha St. Germain,Elizabeth Hanna,6609,1989,1991.0,3.0,12
1669,Avengers Assemble,PG,23,"Animation, Adventure, Action",7.0,Roger Craig Smith,Troy Baker,Fred Tatasciore,Travis Willingham,6602,2013,2019.0,7.0,12
1670,AJ and the Queen,NA,52,"Adventure, Drama, Comedy",7.5,RuPaul,Izzy G.,Michael-Leon Wooley,Josh Segarra,6596,2020,2020.0,1.0,9
1671,Jonathan Creek,NA,120,"Drama, Crime, Comedy",8.1,Alan Davies,Caroline Quentin,Stuart Milligan,Julia Sawalha,6590,1997,2016.0,20.0,TV-MA
1672,Xiaolin Showdown,NA,30,"Animation, Adventure, Action",7.5,Jeff Bennett,Danny Cooksey,Grey Griffin,Tom Kenny,6575,2003,2006.0,4.0,TV-Y7
1673,Cory in the House,NA,22,"Family, Comedy",5.1,Kyle Massey,Jason Dolley,Maiara Walsh,Madison Pettis,6570,2007,2008.0,2.0,AL
1674,Divorce,NA,30,"Drama, Comedy",6.8,Sarah Jessica Parker,Thomas Haden Church,Molly Shannon,Talia Balsam,6568,2016,2019.0,4.0,6
1675,Tidelands,18,60,"Fantasy, Drama, Crime",7.0,Charlotte Best,Marco Pigossi,Aaron Jakubenko,Mattias Inwood,6560,2018,2018.0,1.0,12
1676,Ed,NA,60,"Drama, Comedy",7.5,Tom Cavanagh,Julie Bowen,Josh Randall,Jana Marie Hupp,6555,2000,2004.0,5.0,NA
1677,The View,NA,60,Talk-Show,2.6,Whoopi Goldberg,Joy Behar,Virginia Hamilton,Sunny Hostin,6553,1997,,,TV-14
1678,Abhay,U,35,"Thriller, Crime",7.8,Kunal Khemu,Ratnesh Mani,Sandeepa Dhar,Pratyaksh Panwar,6552,2019,,,NA
1679,"Yes, Dear",NA,30,Comedy,7.0,Anthony Clark,Liza Snyder,Jean Louisa Kelly,Mike O'Malley,6550,2000,2006.0,7.0,TV-PG
1680,Duck Dodgers,NA,30,"Short, Animation, Action",7.8,Joe Alaskey,Bob Bergen,Richard McGonagle,Michael Dorn,6548,2003,2005.0,3.0,AL
1681,The Royle Family,NA,45,Comedy,8.1,Ricky Tomlinson,Sue Johnston,Caroline Aherne,Craig Cash,6544,1998,2012.0,15.0,NA
1682,Patriot Act with Hasan Minhaj,18,25,"Talk-Show, News, Comedy",8.3,Hasan Minhaj,Joyelle Johnson,Arnab Goswami,Andrew Yang,6539,2018,2020.0,3.0,AL
1683,Smoke,Not Rated,40,Thriller,8.5,Jim Sarbh,Kalki Koechlin,Mandira Bedi,Gulshan Devaiah,6538,2018,2019.0,2.0,NA
1684,Lark Rise to Candleford,NA,53,"Romance, Drama",8.1,Olivia Hallinan,Sarah Lancashire,Julia Sawalha,Fergus Drysdale,6538,2008,2011.0,4.0,TV-PG
1685,Matlock,NA,60,"Mystery, Drama, Crime",7.0,Andy Griffith,Linda Purl,Kene Holiday,Nancy Stafford,6533,1986,1995.0,10.0,6
1686,How It's Made,NA,24,Documentary,7.8,Brooks T. Moore,Tony Hirst,Lynne Adams,Lynn Herzeg,6514,2001,,,TV-G
1687,Powerless,NA,21,"Fantasy, Comedy, Sci-Fi",6.4,Vanessa Hudgens,Danny Pudi,Christina Kirk,Ron Funches,6510,2017,2017.0,1.0,NA
1688,Dynasty,NA,60,"Romance, Drama",6.3,John Forsythe,Linda Evans,Joan Collins,Gordon Thomson,6501,1981,1989.0,9.0,12
1689,"Love, Victor",NA,30,"Romance, Drama, Comedy",8.1,Michael Cimino,Rachel Hilson,Anthony Turpel,Bebe Wood,6497,2020,,,12
1690,Toast of London,NA,30,Comedy,8.2,Matt Berry,Robert Bathurst,Doon Mackichan,Shazad Latif,6494,2012,,,TV-MA
1691,Superjail!,NA,10,"Animation, Crime, Comedy",7.7,David Wain,Teddy Cohn,Christopher McCulloch,Christy Karacas,6490,2007,2014.0,8.0,TV-14
1692,Origin,A,45,"Horror, Sci-Fi",7.1,Natalia Tena,Tom Felton,Sen Mitsuji,Nora Arnezeder,6489,2018,2018.0,1.0,16
1693,Young Wallander,16,121.0,"Mystery, Drama, Crime",6.8,Adam Pålsson,Yasen Atour,Leanne Best,Richard Dillane,6487,2020,,,12
1694,Vratice se rode,NA,55,"Drama, Crime, Comedy",8.9,Nikola Djuricko,Dragan Bjelogrlic,Srdjan 'Zika' Todorovic,Ljubomir Bandovic,6486,2007,2008.0,2.0,TV-MA
1695,Nash Bridges,NA,60,"Drama, Crime, Action",6.8,Don Johnson,Cheech Marin,Jodi Lyn O'Keefe,Jeff Perry,6480,1996,2001.0,6.0,TV-14
1696,The Flash,NA,48,"Fantasy, Crime, Action",7.2,John Wesley Shipp,Amanda Pays,Alex Désert,Vito D'Ambrosio,6471,1990,1991.0,2.0,12
1697,Laverne & Shirley,NA,30,"Family, Comedy",6.9,Penny Marshall,Cindy Williams,David L. Lander,Eddie Mekka,6471,1976,1983.0,8.0,NA
1698,Diagnosis Murder,NA,45,"Mystery, Drama, Crime",6.8,Dick Van Dyke,Barry Van Dyke,Victoria Rowell,Charlie Schlatter,6468,1993,2001.0,9.0,6
1699,Unsolved,NA,60,"Biography, Crime",7.9,Josh Duhamel,Bokeem Woodbine,Wavyy Jonez,Marcc Rose,6467,2018,,,16
1700,Turn Up Charlie,18,30,Comedy,7.1,Idris Elba,Piper Perabo,Frankie Hervey,Shaheen Ramdiane,6461,2019,2019.0,1.0,16
1701,Instinct,NA,60,"Mystery, Drama, Crime",6.6,Alan Cumming,Bojana Novakovic,Daniel Ings,Michael B. Silver,6460,2018,2019.0,2.0,16
1702,God Friended Me,All,43,"Fantasy, Drama, Comedy",6.9,Brandon Micheal Hall,Violett Beane,Suraj Sharma,Javicia Leslie,6458,2018,2020.0,3.0,TV-PG
1703,Man v. Food,NA,30,Reality-TV,7.3,Adam Richman,Casey Webb,Joey Chestnut,Gladys Knight,6457,2008,,,TV-G
1704,Emily Owens M.D.,NA,43,"Romance, Drama, Comedy",7.5,Mamie Gummer,Justin Hartley,Aja Naomi King,Michael Rady,6444,2012,2013.0,2.0,12
1705,Tokyo Ghoul: re,18,24,"Animation, Drama, Action",6.9,Natsuki Hanae,Austin Tindle,Adam Gibbs,Mikaela Krantz,6442,2018,2018.0,1.0,TV-MA
1706,W - Du gaeui segye,16,60,"Fantasy, Drama, Romance",8.1,Han Hyo-joo,Lee Jong-Suk,Jeong Eu-Gene,Eui-sung Kim,6441,2016,2016.0,1.0,NA
1707,DuckTales,NA,21,"Animation, Adventure, Action",8.3,David Tennant,Ben Schwartz,Danny Pudi,Bobby Moynihan,6434,2017,2021.0,5.0,9
1708,Primal,NA,22,"Animation, Adventure, Action",8.7,Aaron LaPlante,Tom Kenny,Jon Olson,Laëtitia Eïdo,6433,2019,,,16
1709,A Touch of Frost,NA,105,"Mystery, Drama, Crime",7.8,David Jason,Bruce Alexander,John Lyons,Arthur White,6430,1992,2010.0,19.0,12
1710,The Fall Guy,NA,60,"Comedy, Adventure, Action",7.1,Lee Majors,Douglas Barr,Heather Thomas,Markie Post,6428,1981,1986.0,6.0,NA
1711,Karppi,16,45,"Mystery, Drama, Crime",7.2,Pihla Viitala,Lauri Tilkanen,Mimosa Willamo,Noa Tola,6417,2018,2020.0,3.0,16
1712,Bang Baang,18,18,"Thriller, Action",7.2,Ruhi Singh,Mr. Faisu,Aman Gandotra,Shataf Figar,6414,2021,,,NA
1713,Squidbillies,NA,11,"Animation, Comedy",6.5,Bobby Ellerbee,Unknown Hinson,Dana Snyder,Daniel McDevitt,6411,2005,,,TV-MA
1714,Hart to Hart,NA,60,"Adventure, Crime, Action",6.6,Robert Wagner,Stefanie Powers,Lionel Stander,Lee Wilkof,6411,1979,1984.0,6.0,12
1715,Rake,18,60,"Drama, Comedy",8.5,Richard Roxburgh,Matt Day,Kate Box,Caroline Brazier,6408,2010,2018.0,9.0,16
1716,Durarara!!,NA,24,"Animation, Crime, Comedy",7.9,Brian Beacock,Johnny Yong Bosch,Doug Erholtz,Crispin Freeman,6397,2010,2010.0,1.0,TV-14
1717,Kiralik Ask,NA,120,"Romance, Comedy",7.1,Elçin Sangu,Baris Arduç,Salih Bademci,Nergis Kumbasar,6386,2015,2017.0,3.0,NA
1718,Thundercats,NA,30.0,"Animation, Adventure, Action",7.8,Will Friedle,Matthew Mercer,Kevin Michael Richardson,Emmanuelle Chriqui,6377,2011,2012.0,2.0,TV-Y7
1719,Wrecked,NA,30,"Comedy, Adventure, Action",7.3,Zach Cregger,Asif Ali,Brian Sacca,Ally Maki,6370,2016,2018.0,3.0,TV-MA
1720,Accidentally on Purpose,NA,22,"Romance, Comedy",6.3,Jenna Elfman,Jon Foster,Ashley Jensen,Lennon Parham,6359,2009,2010.0,2.0,TV-14
1721,Ghost Hunters,NA,60,Thriller,6.2,Jason Hawes,Steve Gonsalves,Grant Wilson,Dave Tango,6355,2004,,,TV-PG
1722,Late Night with Seth Meyers,NA,60,"Talk-Show, Comedy",6.1,Seth Meyers,Fred Armisen,The 8G Band,Ben Warheit,6354,2014,,,TV-14
1723,The King: Youngwonui Gunjoo,16,70,"Fantasy, Romance, Mystery",8.2,Lee Min-Ho,Kim Go-eun,Woo Do-Hwan,Kim Kyung-Nam,6351,2020,2020.0,1.0,TV-14
1724,Secret City,NA,49,"Mystery, Thriller",7.4,Anna Torv,Marcus Graham,Justin Smith,Aleks Mikic,6342,2016,2019.0,4.0,16
1725,Anthony Bourdain: No Reservations,NA,60,"Reality-TV, Adventure",8.4,Anthony Bourdain,Tom Vitale,Zamir Gotta,Todd Liebler,6337,2005,2012.0,8.0,TV-PG
1726,The Bachelor,NA,60,"Reality-TV, Drama, Game-Show",3.2,Chris Harrison,Brad Womack,Sean Lowe,Ben Higgins,6333,2002,,,TV-14
1727,Clone High,NA,TV-14TV-14,"Animation, Comedy, Sci-Fi",8.1,Will Forte,Phil Lord,Michael McDonald,Christa Miller,6333,2002,2003.0,2.0,TV-14
